"Manne, Nandini D.P.K.",4,4,b,b,24,12,Medical sciences
"Arvapalli, Ravikumar",5,5,b,c,24,12,Medical sciences
"Rice, Kevin M.",6,6,b,c,24,12,Medical sciences
"Asano, Shinichi",7,7,b,c,24,12,Medical sciences
"Fankhanel, Erin",8,8,b,d,24,12,Medical sciences
"Shokuhfar, Tolou",9,9,c,d,24,12,Medical sciences
"Maheshwari, Mani",10,10,c,d,24,12,Medical sciences
"Blough, Eric R.",11,11,c,d,24,12,Medical sciences
"Selvaraj, Vellaisamy",12,1,c,a,24,12,Medical sciences
"Nepal, Niraj",13,2,c,b,24,12,Medical sciences
"Rogers, Steven",14,3,c,b,24,12,Medical sciences
"Manne, Nandini D.P.K.",15,4,c,b,24,12,Medical sciences
"Arvapalli, Ravikumar",16,5,d,c,24,12,Medical sciences
"Rice, Kevin M.",17,6,d,c,24,12,Medical sciences
"Asano, Shinichi",18,7,d,c,24,12,Medical sciences
"Fankhanel, Erin",19,8,d,d,24,12,Medical sciences
"Ma, Jane J.",20,12,d,l,24,12,Medical sciences
"Shokuhfar, Tolou",21,9,d,d,24,12,Medical sciences
"Maheshwari, Mani",22,10,d,d,24,12,Medical sciences
"Blough, Eric R.",23,11,d,d,24,12,Medical sciences
"Ma, Jane J.",24,12,l,l,24,12,Medical sciences
"Selvaraj, Vellaisamy",1,1,a,a,24,12,Engineering
"Nepal, Niraj",2,2,b,b,24,12,Engineering
"Rogers, Steven",3,3,b,b,24,12,Engineering
"Manne, Nandini D.P.K.",4,4,b,b,24,12,Engineering
"Arvapalli, Ravikumar",5,5,b,c,24,12,Engineering
"Rice, Kevin M.",6,6,b,c,24,12,Engineering
"Asano, Shinichi",7,7,b,c,24,12,Engineering
"Fankhanel, Erin",8,8,b,d,24,12,Engineering
"Shokuhfar, Tolou",9,9,c,d,24,12,Engineering
"Maheshwari, Mani",10,10,c,d,24,12,Engineering
"Blough, Eric R.",11,11,c,d,24,12,Engineering
"Selvaraj, Vellaisamy",12,1,c,a,24,12,Engineering
"Nepal, Niraj",13,2,c,b,24,12,Engineering
"Rogers, Steven",14,3,c,b,24,12,Engineering
"Manne, Nandini D.P.K.",15,4,c,b,24,12,Engineering
"Arvapalli, Ravikumar",16,5,d,c,24,12,Engineering
"Rice, Kevin M.",17,6,d,c,24,12,Engineering
"Asano, Shinichi",18,7,d,c,24,12,Engineering
"Fankhanel, Erin",19,8,d,d,24,12,Engineering
"Ma, Jane J.",20,12,d,l,24,12,Engineering
"Shokuhfar, Tolou",21,9,d,d,24,12,Engineering
"Maheshwari, Mani",22,10,d,d,24,12,Engineering
