10.1016/j.dib.2020.106576,"Hussein, Yaseein S.",5,Medical sciences
10.1016/j.dib.2020.106576,"Abdelkareem, Zahraa A.",6,Medical sciences
10.1016/j.dib.2016.08.054,"Yu, Lihui",4,Medical sciences
10.1016/j.dib.2016.08.054,"Wang, Chunyan",5,Medical sciences
10.1016/j.dib.2018.03.047,"Peloso, Simone",4,Engineering
10.1016/j.dib.2017.07.033,"Lincoff, Michael A.",4,Medical sciences
10.1016/j.dib.2017.07.033,"C. Gibson, Michael",5,Medical sciences
10.1016/j.dib.2021.107022,"Bockstaller, Christian",4,Biological sciences
10.1016/j.dib.2021.107022,"Curran, Michael",5,Biological sciences
10.1016/j.dib.2021.107022,"Messean, Antoine",8,Biological sciences
10.1016/j.dib.2021.107022,"Van Stappen, Florence",10,Biological sciences
10.1016/j.dib.2021.107022,"Stilmant, Didier",11,Biological sciences
10.1016/j.dib.2020.105889,"Figueira, Rubens Cesar Lopes",4,Geosciences
10.1016/j.dib.2020.105889,"Abessa, Denis Moledo Souza",7,Geosciences
10.1016/j.dib.2020.106256,"Barra, Adrien",4,Geosciences
10.1016/j.dib.2020.106256,"Bégorre, Céline",5,Geosciences
10.1016/j.dib.2020.106256,"Hammada, Myriam",7,Geosciences
10.1016/j.dib.2020.106256,"Lardaux, Gary",8,Geosciences
10.1016/j.dib.2018.09.103,"Mckeegan, Dorothy",4,Medical sciences
10.1016/j.dib.2018.09.103,"O’Reilly, Emily",5,Medical sciences
10.1016/j.dib.2018.09.103,"Bain, Maureen",6,Medical sciences
10.1016/j.dib.2016.07.029,"Castelli, M. Raciti",4,Engineering
10.1016/j.dib.2016.07.029,"Dell’Anna, S.",5,Engineering
10.1016/j.dib.2016.07.029,"Dossena, V.",6,Engineering
10.1016/j.dib.2016.07.029,"Paulsen, U. Schmidt",8,Engineering
10.1016/j.dib.2017.01.005,"Almeida, Andreia",8,Biological sciences
10.1016/j.dib.2017.01.005,"Almeida-Marques, Catarina",15,Biological sciences
10.1016/j.dib.2016.05.031,"Gomes Vasconcelos, Andreanne",4,Engineering
10.1016/j.dib.2019.104381,"Casillo, Gian Marco",4,Medical sciences
10.1016/j.dib.2019.104381,"Russo, Marina",5,Medical sciences
10.1016/j.dib.2019.104381,"Lezama, Danielle",6,Medical sciences
10.1016/j.dib.2020.106568,"Barrena, Eva",4,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Chentli, Hayet",5,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Coelho, Leandro C.",6,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Dayarian, Iman",7,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Grimault, Axel",8,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Iris, Çağatay",9,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Keskin, Merve",10,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Kiefer, Alexander",11,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Lusby, Richard Martin",12,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Mauri, Geraldo Regis",13,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Monroy-Licht, Marcela",14,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Parragh, Sophie N.",15,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Riquelme-Rodríguez, Juan-Pablo",16,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Santini, Alberto",17,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Santos, Vínicius Gandra Martins",18,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Thomas, Charles",19,Social sciences & Humanities
10.1016/j.dib.2020.106568,"Gullhav, Anders N.",20,Social sciences & Humanities
10.1016/j.dib.2017.09.023,"Nong, Ngo Van",3,Engineering
10.1016/j.dib.2017.05.005,"Kanik, Joseph G.",3,Medical sciences
10.1016/j.dib.2020.106609,"Diniz, Ricardo",3,Engineering
10.1016/j.dib.2018.05.049,"Magaña Rueda, Víctor Orlando",3,Social sciences & Humanities
10.1016/j.dib.2016.08.001,"Martin, S.E.",3,Social sciences & Humanities
10.1016/j.dib.2019.103892,"Mazdeh, A. Mahdavi",3,Engineering
10.1016/j.dib.2017.06.036,"Pitfield, Christy",3,Social sciences & Humanities
10.1016/j.dib.2018.10.074,"Bienert, J.",3,Engineering
10.1016/j.dib.2020.106000,"Oyanedel, Juan Carlos",3,Social sciences & Humanities
10.1016/j.dib.2017.10.006,"Gallachóir, Brian P.Ó",3,Engineering
10.1016/j.dib.2016.11.090,"Gardeniers, Han",3,Physics & Chemistry
10.1016/j.dib.2019.103819,"Brizzolla, M.M.B.",3,Social sciences & Humanities
10.1016/j.dib.2022.108273,"Stěhulová, Ilona",3,Biological sciences
10.1016/j.dib.2022.108511,"Correia, Ezequiel",3,Social sciences & Humanities
10.1016/j.dib.2022.108062,"Dockum, Rikker",3,Social sciences & Humanities
10.1016/j.dib.2017.08.036,"Birch Kristensen, Mette",3,Geosciences
10.1016/j.dib.2020.105589,"Borah, Himakshi",3,Computer & Mathematical sciences
10.1016/j.dib.2021.106798,"Chantereau, Y.",3,Engineering
10.1016/j.dib.2016.03.077,"Indjai, Bucar",3,Geosciences
10.1016/j.dib.2015.05.015,"Maria Congedo, Paolo",3,Engineering
10.1016/j.dib.2019.104727,"Li, Tingshuai",3,Engineering
10.1016/j.dib.2019.104245,"Dutra Ribeiro, Flavia Noronha",3,Geosciences
10.1016/j.dib.2020.105220,"Costa Castro, Luís Filipe",3,Geosciences
10.1016/j.dib.2020.105485,"Ballo, Federico Maria",3,Engineering
10.1016/j.dib.2020.106548,"Sunglao, Jun Carlo",3,Social sciences & Humanities
10.1016/j.dib.2019.104019,"Ma, Yu",3,Social sciences & Humanities
10.1016/j.dib.2020.105281,"Berná Peña, Lucas Luciano",3,Geosciences
10.1016/j.dib.2018.08.091,"Oulahyane, Hafsa Ait",3,Computer & Mathematical sciences
10.1016/j.dib.2018.04.129,"Kongprajug, Akechai",3,Geosciences
10.1016/j.dib.2017.03.047,"Crossingham, Yazmin J.",4,Biological sciences
10.1016/j.dib.2018.05.048,"Chong, Andrea Estrella",3,Social sciences & Humanities
10.1016/j.dib.2016.06.030,"Oshiumi, Hiroyuki",3,Biological sciences
10.1016/j.dib.2017.10.041,"Brar, Satinder Kaur",3,Engineering
10.1016/j.dib.2019.104688,"Qi, Yuanxin",3,Engineering
10.1016/j.dib.2015.04.013,"Ramallo Guevara, Carina",3,Biological sciences
10.1016/j.dib.2015.01.008,"Cenci, Alberto",3,Biological sciences
10.1016/j.dib.2020.106251,"Chultsova, Anna",5,Biological sciences
10.1016/j.dib.2021.106756,"Oudrhiri Hassani, Fahd",3,Engineering
10.1016/j.dib.2020.105155,"Yao, Hong",3,Engineering
10.1016/j.dib.2021.107672,"Benko, Ľubomír",3,Computer & Mathematical sciences
10.1016/j.dib.2016.09.009,"Ovchinnikova, Katya",3,Geosciences
10.1016/j.dib.2016.05.006,"Gong, Yong Xi",3,Social sciences & Humanities
10.1016/j.dib.2019.104342,"Ogutu, Chris Ackello",3,Geosciences
10.1016/j.dib.2021.106862,"Talebpour Amiri, Fereshteh",3,Medical sciences
10.1016/j.dib.2017.09.034,"Sulistiyo, Dimas Hand",3,Engineering
10.1016/j.dib.2014.09.003,"Tarık Baykal, Ahmet",3,FALSE
10.1016/j.dib.2016.09.007,"Abd. Majid, Muhd Zaimi",3,Geosciences
10.1016/j.dib.2016.03.040,"Shum, David",3,Biological sciences
10.1016/j.dib.2021.107160,"Paris, Cédric",3,Biological sciences
10.1016/j.dib.2022.108195,"Nardo, Giovanna Di",3,Physics & Chemistry
10.1016/j.dib.2016.03.016,"Ferranti, Larissa De Souza",3,Biological sciences
10.1016/j.dib.2019.104056,"Hesser, Günter",3,Physics & Chemistry
10.1016/j.dib.2020.106064,"Brown, Kitty",3,Biological sciences
10.1016/j.dib.2020.105789,"Kampe, Sandra",3,Medical sciences
10.1016/j.dib.2022.108367,"Duigou, Antoine Le",3,Engineering
10.1016/j.dib.2016.04.071,"Valero Rustarazo, Ma Luz",3,Medical sciences
10.1016/j.dib.2020.105134,"Le, Quang Dung",3,Geosciences
10.1016/j.dib.2020.105811,"Tong, Ching Man Carmen",3,Biological sciences
10.1016/j.dib.2016.01.024,"Sorrentino, R.",3,Engineering
10.1016/j.dib.2016.01.024,"Bruni, G.",8,Engineering
10.1016/j.dib.2016.01.024,"Pezzoli, D.",9,Engineering
10.1016/j.dib.2016.01.024,"Candiani, G.",10,Engineering
10.1016/j.dib.2016.03.066,"De Lima, M.R.",3,Medical sciences
10.1016/j.dib.2019.104203,"Jin, Yong Won",3,Biological sciences
10.1016/j.dib.2019.104203,"Wei, John",7,Biological sciences
10.1016/j.dib.2019.104203,"Thiruvahindrapuram, Bhooma",8,Biological sciences
10.1016/j.dib.2019.104203,"Scherer, Stephen W.",10,Biological sciences
10.1016/j.dib.2020.106420,"Nosrati, Hassan",3,Biological sciences
10.1016/j.dib.2020.106420,"Parkkila, Seppo",5,Biological sciences
10.1016/j.dib.2019.104304,"Jin, Yongfei",4,Engineering
10.1016/j.dib.2020.106272,"Kim, Seung Yeob",3,Engineering
10.1016/j.dib.2020.106272,"Jin, Sung Hun",5,Engineering
10.1016/j.dib.2017.11.050,"Buscherini, Giuditta Ainis",3,Medical sciences
10.1016/j.dib.2020.106489,"Mikhaylova, Daria",5,Geosciences
10.1016/j.dib.2021.106796,"Hausmann, Jacqueline",3,Medical sciences
10.1016/j.dib.2021.106796,"Kneusel, Marcia",6,Medical sciences
10.1016/j.dib.2021.106796,"Ashmeade, Terri",7,Medical sciences
