Data Paper,Research Paper,Dauthors,Rauthors,Dnumber,Rnumber,Discipline,Subjects,RBO,Jaccard,LevenshteinDistance,LevenshteinRatio
10.1016/j.dib.2021.107600,S0034425720300456,"['Campbell, Petya', 'Middleton, Elizabeth', 'Huemmrich, Karl', 'Ward, Lauren', 'Julitta, Tommaso', 'Yang, Peiqi', 'Van Der Tol, Christiaan', 'Daughtry, Craig', 'Alfieri, Joseph', 'Kustas, William', 'Russ, Andrew']","['Yang, Peiqi', 'Van Der Tol, Christiaan', 'Campbell, Petya K.E.', 'Middleton, Elizabeth M.']",11,4,Plant Science,Biological sciences,0.101132196,0.307692308,9,0.470588235
10.1016/j.dib.2019.104579,S0014483519300181,"['Xu, Zhi-Yi', 'Li, Jia-Hui', 'Li, Mei-Jun', 'Zheng, Wen-Lin', 'Pan, Hong-Wei']","['Cui, Yu-Hong', 'Liu, Qun', 'Xu, Zhi-Yi', 'Li, Jia-Hui', 'Hu, Zi-Xuan', 'Li, Mei-Jun', 'Zheng, Wen-Lin', 'Li, Zhi-Jie', 'Pan, Hong-Wei']",5,9,"Biochemistry, Genetics and Molecular Biology",Biological sciences,0.100928773,1,8,0.555555556
10.1016/j.dib.2020.106146,S1876382020308519,"['Serralheiro, Maria Luísa', 'Guedes, Rita', 'Fadel, Sezan R.', 'Bendif, Hamdi']","['Fadel, Sezan R.', 'Bendif, Hamdi', 'Guedes, Laura', 'André, Rebeca', 'Pacheco, Rita', 'Guedes, Rita', 'Merabti, Karim', 'Miara, Mohamed Djamel', 'Serralheiro, Maria Luísa']",4,9,Agricultural and Biological Sciences,Biological sciences,0.099103842,1,4,0.777777778
10.1016/j.dib.2020.105370,S092777651930640X,"['Pesnel, Sabrina', 'Zhang, Yang', 'Weiling, Fu', 'Morel, Anne-Laure']","['Haddada, Maroua Ben', 'Koshel, Dimitri', 'Yang, Zhang', 'Fu, Weiling', 'Spadavecchia, Jolanda', 'Pesnel, Sabrina', 'Morel, Anne-Laure']",4,7,Chemical Engineering,Engineering,0.098462692,0.777777778,6,0.625
10.1016/j.dib.2018.12.033,S0045653518319908,"['Gramec Skledar, Darja', 'Trontelj, Jurij', 'Troberg, Johanna', 'Tomašič, Tihomir', 'Zega, Anamarija', 'Finel, Moshe', 'Peterlin Mašič, Lucija']","['Skledar, Darja Gramec', 'Carino, Adriana', 'Trontelj, Jurij', 'Troberg, Johanna', 'Distrutti, Eleonora', 'Marchianò, Silvia', 'Tomašič, Tihomir', 'Zega, Anamarija', 'Fiorucci, Stefano', 'Mašič, Lucija Peterlin', 'Finel, Moshe']",7,11,"Pharmacology, Toxicology and Pharmaceutical Science",Medical sciences,0.097454551,0.846153846,11,0.5
10.1016/j.dib.2016.05.015,S1673852716300236,"['Li, Hui', 'Huang, Yong', 'Wang, Peng-Ye', 'Ye, Fangfu', 'Liu, Ji-Long']","['Shen, Qing-Ji', 'Kassim, Hakimi', 'Huang, Yong', 'Li, Hui', 'Zhang, Jing', 'Li, Guang', 'Wang, Peng-Ye', 'Yan, Jun', 'Liu, Ji-Long', 'Ye, Fangfu']",5,10,"Genetics, Genomics and Molecular Biology",Biological sciences,0.096889013,1,10,0.5
10.1016/j.dib.2016.01.009,S1873506115001579,"['Ikbale, El-Ayachi', 'Goorha, Sarita', 'Reiter, Lawrence T.', 'Miranda-Carboni, Gustavo A.']","['Urraca, Nora', 'Memon, Rawaha', 'El-Iyachi, Ikbale', 'Goorha, Sarita', 'Valdez, Colleen', 'Tran, Quynh T.', 'Scroggs, Reese', 'Miranda-Carboni, Gustavo A.', 'Bridges, Dave', 'Reiter, Lawrence T.', 'Donaldson, Martin']",4,11,"Biochemistry, Genetics and Molecular Biology",Biological sciences,0.095587884,0.916666667,7,0.695652174
10.1016/j.dib.2019.104313,S0167739X18330760,"['Allahham, Mhd Saria', ""Al-Sa'D, Mohammad F."", 'Al-Ali, Abdulla', 'Mohamed, Amr', 'Khattab, Tamer', 'Erbad, Aiman']","['Al-Sa’D, Mohammad F.', 'Al-Ali, Abdulla', 'Mohamed, Amr', 'Khattab, Tamer', 'Erbad, Aiman']",6,5,Engineering,Engineering,0.094623656,0.833333333,4,0.545454545
10.1016/j.dib.2022.108198,10.1016/j.jretconser.2022.102950,"['Le, Angelina Nhat Hanh', 'Ho, Huong Xuan', 'Nguyen, Dong Phong', 'Cheng, Julian Ming Sung']","['Ho, Xuan Huong', 'Nguyen, Dong Phong', 'Cheng, Julian Ming Sung', 'Le, Angelina Nhat Hanh']",4,4,"Business, Management and Decision Sciences",Social sciences & Humanities,0.094444444,0.8,3,0.444444444
10.1016/j.dib.2020.105335,S0921889019303495,"['Bekiroglu, Yasemin', 'Björkman, Mårten', 'Zarzar Gandler, Gabriela', 'Exner, Johannes', 'Ek, Carl Henrik', 'Kragic, Danica']","['Gandler, Gabriela Zarzar', 'Ek, Carl Henrik', 'Björkman, Mårten', 'Stolkin, Rustam', 'Bekiroglu, Yasemin']",6,5,Computer Science,Computer & Mathematical sciences,0.085185185,0.625,7,0.307692308
